,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
370360,370361,B001EQ4H7G,AAI8G6LM4CIFP,D. Cepulis,0,0,2,1248480000,Falls short of a dark chocolate experience.,Looks like they didn't really taste test this product.  Nothing in the realm of dark chocolate springs to mind when drinking it.  We were disappointed.
138691,138692,B001IZBE2Y,A3KY1FHHL0EI7S,Shannon Intravaia,1,1,5,1300320000,Love Em,They are very tasty and actually very filling which I was skeptical about.  I have a shake for breakfast and a meal bar for lunch.  Then i'm good to go!
181209,181210,B007Y59HVM,#oc-R1ICFZ7CRFKA5N,G. Myers,0,2,1,1350086400,36 count means 12,"When I received my latest order, the bag said ""36 count"" but there are only 12 K-cups inside.  That makes this very very expensive coffee."
306023,306024,B000F6WJG2,A32IZGVQZYINGD,"Nancy Hartsock ""smokeater8904""",1,2,1,1217203200,This one is not for me.,"This one is not for me.  The fragrance is the first thing I noticed with this tea.  I thought maybe it was just my nose, I was having a sinus issue when I first tried the tea.  But, no, it was my tastebuds as well.  This tea smells and tastes like butterscotch, which is not for me.  I couldn't even pawn it off on any friends or relatives.  So, unfortunately it went into the trash.  While others may like it, this one just isn't for me.  Although, I will say this is the only tea I have tried thus far from Good Earth that I didn't care for.  As a whole Good Earth teas are my fave, I buy the Decaf Green Tea with Lemongrass by the case."
394467,394468,B0002WT548,A3AU9AW55KSDQ9,"Robert Savage ""savagewebb""",0,3,5,1135987200,Generous company,On a recent order I received the wrong tea. They sent the proper order out and were quite gracious to deal with. I was very satisfied with their integrety.
429131,429132,B0018CIP6K,A1H73NW4DTNR1O,Amazon Woman,6,8,1,1335139200,Beware:  Gulf of Mexico products (oil spill & chemical concern) in this food.,"I loved the idea of this product until I saw the film ""The Big Fix"" and learned that the fish from the Gulf of Mexico is probably not actually safe to eat (despite what our government wants us to believe).<br /><br />The 2nd ingredient in this food (which I've been feeding my beloved pets) is ""ocean fish meal.""  I wrote and phoned Diamond Pet Foods (maker of Taste of the Wild) and confirmed that their ""ocean fish meal"" indeed comes from the Gulf of Mexico.  I then did my own research and confirmed online that today (April 2012) there are major concerns with the fish and seafood coming from the gulf.  Fish are showing up with black and bright red 'lesions' and crustaceans are showing up with blackened body parts.  This was in some video taken by a journalist and posted on the web.<br /><br />If you watch The Big Fix you'll learn not only about the oil that is likely sitting on the bottom of the gulf, but you'll also learn about toxic chemical dispersant branded as COREXIT, which has been used extensively in the gulf to hide the oil.  This is what's REALLY going on with the fish in the gulf and you can probably assume that pet food is considered a great way to ""dispose"" of food products within the commerce chain.<br /><br />I'm stopping feeding my pet this food immediately because despite what the bag depicts (wolves and bears in the wild) one of the major ingredients (""ocean fish meal"") doesn't come from the pacific northwest at all, but actually comes from the gulf of Mexico which is a suspect source of food for both humans and pets according to the alternative press.<br /><br />For reference check out the following articles.  Amazon won't let me post links so you must google these as key words:<br /><br />1.  Lauran Neergaard's 4/25/12 gruesome photo for AP of fish in a Gainsburg FL paper.  She's a medical writer.<br />2.  Amy Goodman's Due Diligence On Gulf Oil Spill 4/24/12<br />3.  4/23/12 Crustacean biologist Darryl Felder of University of Louisana reports ""finding crab and lobster, etc., that had black gills, that had appendages falling off"" plus ""parasites and other illnesses"" setting in.<br />4.  ""Gulf Aquatic Wildlife Deformities Alarm Scientists"" 4/21/12, Dr. Jim Cowan of Louisiana State University<br />5.  Same article as #4:  Dr Wilma Subra, a chemist and Macarthur Fellow, has conducted tests on seafood and sediment samples along the Gulf for chemicals present in BP's crude oil and toxic dispersants.<br /><br />""Tests have shown significant levels of oil pollution in oysters and crabs along the Louisiana coastline,"" per Subra."
479495,479496,B0002I0GVS,ATD5M86ZDBPSR,Iko,5,5,5,1281744000,Good product,"I spent a lot of time researching premium puppy foods and settled on Wellness. I wanted a food that didn't contain corn or wheat and other non specific meat products. My 14 week old puppy had no trouble switching to Wellness, in fact she is no longer picking around her dry food like she was on the previous brand I bought. She hasn't been on it long enough for me to have noticed a change in condition or coat, but i'm confident it will. My only complaint is that the so called 're-sealable' bag doesn't actually reseal."
244420,244421,B0030VBQ5Y,A367RKSM6DA1H2,X. Avalos,6,6,5,1318809600,"Healthy, Delicious, Convenient!","So my 3 year old son gulps these down like there's no tomorrow! He loves them. I LOVE them because he's getting spinach a long with a ton of other nutrition. I tried getting him to try some of the other brands' pouches but he didn't go for it. Plus Happy Tot is the only one that contains protein, through a grain called Salba. I googled it to find out more about it...holy moly! Check out the nutrition facts on Salba![...]<br />So I never even tried looking for an alternative after that. Plus I found other amazing uses for it like using it instead of jelly on sandwiches, adding it to cupcakes etc. and...are you ready for this? Happybaby partners with an organization called Project Peanut Butter where they feed a child in Malawi, Africa anytime you buy one of their products. Sweet! LOve this stuff!"
362357,362358,B0029NV9EC,A35N0U0KVVZIBF,"Lucy M. ""Lucy M.""",1,1,4,1280361600,My cats like it...,"I had to give this product a 4 star review because I have three cats, one loves it, the other is indifferent to it and the other wants nothing to do with it. Mind you the cat who wants nothing to do with it is not a finicky eater in any way shape or form. Furthermore it's worth a shot but it's not a guarantee your cat will ""love"" it. I would buy it again though because 2 out of 3 cats like it."
238830,238831,B000O5DI3W,ASSC2299D4RPW,Nancy Lee,0,0,5,1338508800,Great Product for dogs,I have used these for years as it makes giving a dog a pill so very easy.  Dog thinks it is a treat.
435161,435162,B0000GKVUS,A1COYRKS8HQUDP,D. Lopes,14,16,5,1263859200,A great product!,"This pinole is a great product!  It tastes great and is properly advertised.  My husband and I use the pinole with water, almond milk or soymilk before and/or during our long runs which helps provide a lot of much-needed energy.  We've even tried it warm (drank it like tea) and my husband has added it to his morning, pre-run coffee with excellent results.  This pinole really is a versatile product that I highly recommend.  The shipping was a little pricey considering the cost of the product, but it is coming all the way from California so I guess that's about right.  We had no problems at all with the Seller."
157459,157460,B0019QT66I,A34CB9MS6A9OV3,Flatlander,3,3,5,1348099200,One of the best nutritional supplements out there,"A friend recommended that I try this product out due to my low blood levels of magnesium (some of the medications I was on depleted my body of Mg and K). I used to get cramping and soreness in my muscles after going for just minor walks or workouts. This product however, stopped the discomfort within hours of first taking it!<br /><br />If you read up on the side effects of low levels of Magnesium in the blood, you will be amazed to find out how many ailments result. The ""Calm"" is the answer without a doubt.<br /><br />I suffered from high blood pressure and hypertension for years, as well as an elevated heart rate. After taking this product, in conjunction to lifestyle changes, I began to feel better and all other cardiovascular issues normalized.<br /><br />When my doctor asked me what I changed in my life to make my numbers look better, I told her about the Calm, and she has since began using it herself and telling her other patients about it. Its a much quicker and easier way to get the essential Magnesium into your body fast and effectively. It certainly works better than trying to eat copious amounts of other Mg rich foods.<br /><br />Adhere to the serving sizes- especially at first. Magnesium makes for a darn good laxative if you take too much!!!<br /><br />This product is the cheapest here on Amazon. You'll likely spend $35-$45 at other health food stores."
204703,204704,B001ABTGF8,A1T2H39F5AQPVC,hockey gram,0,0,5,1350086400,Wild Tribe Mocha,"Have enjoyed this product for several years.  Shipped in well packed box.  Also, I can make this drink at home now for alot less per serving than I was paying at my local coffee shop!"
149194,149195,B000J423MK,A1L6HOT03VAKN0,emilyforce,1,1,5,1319760000,"If you need powdered milk, this is the best","Most supermarkets in the US don't seem to carry anything but nonfat powdered milk. Maybe it keeps longer than whole; I don't know. So if you need whole powdered milk for any reason, you're likely to end up ordering it, and this is a good choice for that. We use it to travel with our toddler, who has outgrown formula but still drinks a lot of whole milk -- kids aren't supposed to drink lowfat or skim at his age -- and he seems to like it just fine. We parents have also tried it ourselves and not hated it, and have adopted it as our household standard.<br /><br />Powdered milk, including this stuff, does not taste like regular milk. If you're using it in baking or most recipes, it doesn't matter much, and you can use whatever kind you find at your local grocery. However, if you or anyone you care about is going to drink it or pour it on cereal or otherwise have to taste it straight, this is the best option I've found. Personal taste varies, of course, and you might not agree, so try one can before you get a whole case."
29453,29454,B000PDY3P0,A2LWK65Q3H7JEU,Tru4biz,0,0,4,1308700800,Movie need popcorn,Good for my need plus it's says me the guess work. Taste good too!! it came to my door so fast it made me have movie night in the middle of the week
30698,30699,B000EYRBSQ,A1Q3WZ81ZG3J1K,Kathaleen,0,1,3,1299628800,Love it but wrong kind,My local Grocery store does not carry this anymore so I was glad to find it online.. I ordered the Apple harvest but got Cherry Berry?? Good thing the Cherry Berry is good or I would be sending it back.. I will have to order The Apple harvest latter...
157467,157468,B0019QT66I,A702G1JZAABYH,hollydanyell,3,3,5,1331510400,Finally good sleep,"I'm a 31 year old woman and I have suffered from night terrors for my entire life. Since I started taking this supplement a couple of weeks ago I've slept through the night every night. Aside from that fact (that will keep me a customer for life on its own), I also just feel great in general. I take a teaspoon in the morning and a teaspoon in the evening which i dissolve in warm water. It tastes like a bland lemonade, which is fine by me. I'm not here for the flavor, i'm here for the health benefits. My bathroom trips are more regular and my muscles don't feel as sore after I exercise. One thing I would like to note, just in case it happens for anyone else, is that the first 3 days I was getting a pain in my temple randomly throughout the day. Research has led me to believe that this was from the artificial sweetener in the raspberry lemonade flavoring. I'm not having those pains anymore, and when I order again i'll probably stick with the same flavor. I hope this helps someone else may be on the fence about it."
109583,109584,B004DNEQJG,AAG380UH10NG7,Carolyn Tuccio,0,1,5,1321833600,Excellent product.,"Excellent product at a very reasonable price.  Good for turkey stuffing, or anything else that calls for chestnuts.  Moist, not dry and perfect for snacking.  Low calories, no fat, no cholesterol."
219426,219427,B001E5308O,A3MB95ZAZ3BTQH,U. Salim,0,0,5,1324339200,great lunch box item,I usually purchase these for my son's lunch. He loves them and they are a great alternative to candies. I tried a few others but always come back to this brand. They are soft and juicy.
269000,269001,B004SRFYMK,A3NBRHDRGPM1H5,Pretty girl,1,1,5,1339200000,Mounds bar in a bottle!,Fantastic and delicious after a workout! This is probably the best electrolyte replenishing drink on the market! Coconut water is even better than intravenous fluids per some medical literature I have read.
400960,400961,B0016PC4TS,AOTURAR5ANH4P,Kenneth K. Rose,2,3,1,1345939200,shortchanged,"I WAS MOST DEFINITELY NOT PLEASED WITH THE RECEIPT OF MY ORDER FOR HAVAHART CRITTERE RIDDER.  I purposely ordered the large container (5 lbs).  The container I received had approximately 1 lb of material, hardly enough to complete the job fo which it was intended.  I do hope this was an error and not deliberately deceptive packaging.  Please reply.<br /><br />Kenneth K. Rose"
6712,6713,B001LG945O,A1ZCYC0RHTRMZF,"Kristin J. Johnson ""Three-time published author""",0,0,4,1237420800,Light and refreshing,"I repeat, carbonated fruit drinks can be too sugary. This drink reminds me of other orange soda brands without the extra sugar that combined with the metallic can always leaves an odd taste in my mouth. Orangina has a bit more flavor, but Switch Tangerine Orange is light and refreshing,."
207269,207270,B003D4IYSU,A2BUB0UD3125JI,BooBooBear,0,0,2,1337299200,No Discernable Chocolate Flavor,"I ordered this with high hopes, given all the good reviews.  But unfortunately I have to agree with A Consumer that this product doesn't seem to have any chocolate flavor at all.  I had received a sample of another brand that was delicious but expensive, and I bought this hoping for a cheaper alternative but I guess it's true.  You get what you pay for."
348766,348767,B005IYFRUQ,A25PD4OPY2ZM6P,KEVIN,1,1,5,1337731200,EZ Cup is a good product.,"I bought my EZ Cup over a year ago so I could ""roll my own"" k-cup.  I like to choose my own blend and the process is easy and quick.  So much so that I really enjoy making my cup of coffee."
95292,95293,B00401OZ1U,A2Y07NE0P1LPAG,jan52,0,0,5,1342051200,Refreshment,Metromint Spearmint Water is a bit expensive however worth every penny.  Product is very refreshing. Great replacement when you are tired of boring plain water. Taste is not overpowering.
59291,59292,B000AYFBY6,ASIFFIEIA9AR5,"Lrbabe ""lr_babe""",1,2,5,1278028800,What the heck is with the price on Amazon?!!!,"Like someone said earlier...Wal-mart, people!  .31 cents per bar. Here on amazon...$3 a bar...WTH?????"
209140,209141,B00004RAMY,A1ZA6Z8V6IBVLV,Lew,0,0,5,1350432000,I feel strongly BOTH ways!,"Thanks to Mr. Klos and a lot of other people who have added to this forum, I am now the proud owner of 5 of these mole traps with no more moles to trap (for now).  Mr. Klos' method probably would work best if I had not spent the summer smashing down the mole runs. They just dug deeper tunnels. Common sense and a little exploration told me the Klos method would put the squeezers ABOVE the tunnel.  But, other reviews told that, once they figured out that the poor instructions on the package were for deeper tunnels, they were successful. All my tunnels were too deep to use the Klos method.<br /><br />So, I dug up each main run and cleaned out each end of the tunnel to find the common middle ground.  I built a hard mound in the center of the open space.  I loaded the trap and put the safety on.  I placed the trap directly on top of the mound, with the spring barely touching the mound.  It was good I kept the safety on until I buried the trap because a couple times I put it so far down the spring sprung.<br /><br />So, which way is best?  The method that puts the bottom of the trap at the bottom of the run. Don't smash the tunnels down; then, the trap can be placed on the top of the ground merely by inserting two slits in a main run.  I followed the seller's instructions and it worked for deeper runs. Next year, the runs will be trapped without being stomped down first.  Happy hunting."
29087,29088,B001KSOMY6,A35QUWHPUVXEZ7,Hopple Popple,2,2,5,1246233600,Perfect,"These pretzels were perfect.  Not problems with shipping, box, or the bags inside.  A good purchase."
31729,31730,B000AYFDQ2,A25FAHC5PK87QL,deyar a alabdulbaqi,0,0,5,1284768000,Magnificent,Sweet taste and delicious flavor<br />And melts in the mouth superbly<br />Unfortunately not available in the markets of Saudi Arabia
398710,398711,B001D09KAM,A1QNIT14496C1H,W Joy,0,0,3,1344988800,Blueberry Pecan,"I love the Kind products, but this isn't my favorite.  It's not bad, just not the best and has a bit of an off flavor to it."
497665,497666,B000HDK0D2,A1ZDS5L6XO4TPM,"Elle P. ""poptart18""",4,5,4,1180828800,Got these because they are better than a bunch of carbs!,"I'm always on a diet and slowly eating a lollipop is better than rapidly tossing down some popcorn or chips.  Since 3 are a serving and they equal a fraction of what I might otherwise snack on, it's a great idea to invest in a little bin of these in order to slowly go through sugar withdrawal in stead of the rapid painful way I usually do it."
272137,272138,B00019OV8M,A3T4XUW0GZWWTU,"D. Orr ""remodeling guru""",2,2,5,1341273600,awesome! as was the larger can we got last time. great customer service too,love the escal snails.  last time we got the 36 count so this time we decided to get more cans but with less in each can.  Of course we stayed with this brand! we loved it the first time so of course why change. and we were right. they were so good. I thought I had not received them so I emailed them (The Frenchy Bee) and they wrote write back. fast. I did get them. so love the company. will order from them again.
38547,38548,B003GSK4CW,ARYSDAZNRXN6G,A. Crafton,4,4,5,1323734400,Lifesavers and at a great price,"We use syrup for homemade coffee drinks, and the pumps were a lifesaver! Grab bottle, open cap, pour (wipe bottle if it drips), retwist cap. Gahh! Put on a pump and enjoy your syrup without drips and leaks! Even if you knock the bottle over! (Has anyone else ever knocked over a Torani bottle and had the lid break on you!?!?!)<br /><br />The pumps I received were all gold, and they were all individually wrapped in Torani bags. Love these pumps! Since I had to give up my Sugar Free Vanilla iced coffee habit at McDonald's, the pumps have made things so much easier! No measuring either; they use pumps at McD's and other places so why shouldn't we?"
510312,510313,B001ULOTKU,A19XFSZJWHOLL7,P. Godino,1,1,3,1269648000,yummy but this price is way too much,"24 bags for $22? thats very expensive. sure they taste really good especially the strawberry/banana and the fuji apples but they have this variety pack at Costco for $12.99 with 10 fuji apples, 5 strawberry/banana, 5 asian pears = 20 bags."
378340,378341,B008FHUGNQ,AP04UMK9IEKVF,CMH,0,0,5,1291852800,"With a name like that, it has to be good","First, you have to like real, bold coffee (which I do) to like this coffee. If you like this coffee, also try Organic, Black Tiger, and Wake Up Call. Each of these is similar but have slightly different tastes. I like to buy them in boxes of 50 using automatic delivery (can't beat the price that way).<br /><br />The coffee tastes great. I would classify it as bold/extra bold. I gave it 5 stars, and I continue to buy it along with the others that I mentioned."
179245,179246,B0028P8H82,A3D7FUBG14QWKX,Linda,5,5,5,1291766400,"GREAT, if you can afford them!","These have to be my favorite noodle bowls EVER.  I originally purchased them at Big Lots for 60 cents per bowl.  I wasn't sure if I would like them, so only purchased a few bowls.  Big mistake!  I fell in love with them.  However, when I went back, they didn't have any more!  They did have the vegetable bowls, so bought some of them.  They are also tasty, but not as good as the mushroom.  I would love to buy more, but can't afford the asking price at Amazon.  If you can afford these, try them. They're great!"
349537,349538,B003MWCXEE,A2ZCA8X79WC4WS,teachinLA,0,0,5,1312761600,"Good product, but beware of prices on Amazon!!!","This is a great cat food and my two cats have been on Science Diet since they were kittens.  Though this is a great product, beware of the prices from the seller ""Monster Pets""!!! They are charging $25 for a 7-pound bag of cat food, when you can purchase a 15-pound bag from Petco for about $30 (you get about twice as much for $5 more).  I feel this company is being dishonest to their customers... Do not waste your money buying from this particular dealer."
305912,305913,B008BY7O9W,AVV7XQ22H6T6A,M Madeline Clarke,1,1,3,1336435200,"good, but doesn't taste exactly like peanut butter","I suppose I shouldn't be surprised that powdered peanut butter made with water is not as creamy or smooth as peanut butter made with oil. This product is yummy, and I do eat it, but I've found I eat more than I would if I were eating regular peanut butter because it's not as satisfying. It's not as easy to spread on bread, though it's fine for my celery and peanut butter afternoon snack. I bought both the peanut butter and peanut butter with chocolate and have also found the chocolate taste very subtle. Haven't decided whether I will buy this again."
495798,495799,B0098WV8F2,AQZEAM9M4V01J,Alison,6,9,3,1315958400,"Love the Product, Horrible Price",I was able to find this product much cheaper on Bell Plantation's Website.  Only reason I am giving it 3 stars if for the price here.
10597,10598,B004FCGIJ6,A308O2XECS270P,MYRA,0,0,5,1344643200,DELICIOUS-ALL NATURAL COOKIES,I ordered Soozies Doozies Soft&Rich Cookie Gift Tin for my daughter for Easter.<br />She loved them because they were FRESH and made with ALL NATURAL INGRIDIENTS.<br />I would purchase them again.
540131,540132,B003DVKBK2,A3W43ZV9NIVHCE,Orgainc mama-san,1,1,5,1293148800,Great!,I love this sweetner. I am a diabetic and it does not give me gas like Splenda or Maltitol or Malitol. I am especially excited about the powdered sugar substitue for frostings and recipes calling for powdered sugars.
2485,2486,B0027IQC5K,A1HFKOWS3LJ7MR,Willow Brook,11,11,5,1211587200,"Healthy Alternative to Kibble, Canned or Raw Diets","Actually, Sojo's strongly recommends that the meat you add to their mixes be raw, but it an be cooked as I choose to do.  My dog arrived with coccidia and giardia as a puppy.  Through veterinary mismanagement, he was never completely healthy for the first 2 1/2 years of his life.  After watching him get sicker on an aggressive course of antibiotics and prednisone for his Inflammatory Bowel Disease, I took him to a holistic veterinarian.  Part of his treatment has been a homemade diet of Sojo's and meat plus no medications.  I'm extremely pleased to report he has had no GI episodes in over 6 months and has reached a point where I consider him healthy.  His coat is glossy and much fluffier than before he's finally at a good weight.  I have before and after photos that show a dramatic improvement,much of which I credit to Sojo's.<br /><br />It does take some extra time to prepare as opposed to kibble, but I make 4 days worth at a time. This takes me about 30 - 40 minutes total which includes down time while the meat is cooking and cleaning up after.  To be completely honest, I'm not thrilled about cooking for my dog but I am thrilled with the results.  If I was able to feed him raw (perhaps down the road, when our vet gives the ok), preparation time would  be almost nothing."
439463,439464,B004IJJQK4,A3IBJ5EJF42ZWJ,"Nick Bilodeau ""Free Palestine""",0,0,5,1294185600,Good!!,"This is such good stuff, and it's quite healthy. It contains plenty of trace nutrients as well which are vital to our everyday functions, such as eukronium and phosphoric acid. My kids love it! This brand should serve as an example to the rest of this industry."
471962,471963,B0026W9TBQ,A3T2AR1756KE1E,Eric Wooen,6,9,1,1258761600,horse,This was the lousiest jerkey that i ever tasted.  I've had oberto many times and was satisfied. But this had to of been processed from some dead horse laying on the side of the highway for years.  Never again will i eat Oberto Jerky.
547925,547926,B000FF9DV2,AC1VVEXYSB8SJ,"Eric Young ""& Lisa Young""",15,18,5,1257638400,"Very cheesy, light, crunchy, and no MSG!","<span class=""tiny""> Length:: 2:01 Mins<br /><br /></span>Pirate's booty is a light and crunchy snack with no added MSG. It comes in several sizes from lunch box to large family size. The large 10 oz bag has a ""zipper lock"" so it stays fresh for a long time. The taste intensifies as you eat it, becoming cheesier and cheesier."
147191,147192,B000QV2H36,A3ES50BA9DOTBO,Jennie,0,0,4,1341446400,Great,"I used these for a craft at christmas time, they came quickly and were exactly as I expected, worked excellent for what I needed them for and at this price I still was able to make a profit"
445734,445735,B001D0GV7M,A27HY90RNKDUQ5,JQ,0,0,3,1348099200,"Taste is great, but packaging is faulty","Have ordered this product twice before with great results or I would not have ordered it a third time.  This time though, out of five 'k-cups' four have been faulty, meaning, they have failed to engage the Keurig coffee maker properly making a huge mess on the counter in my office.  I know it's this Timothy's order because I have cleaned up the mess, cleaned out the coffee maker and tried other k-cups and the maker works perfectly, so it's not the maker - it's the Timothy's k-cups.  I'm very disappointed because I really have liked this coffee flavor in the past and wish it made the product correctly.  I'll keep trying the other k-cups in the box, but with care.  I'm just wondering if they changed up the formulation on their plastic somewhat and this has caused the problem?????"
400951,400952,B0016PC4TS,A2OALGQSG0CBN5,George Salabayev,1,1,1,1315612800,Junk,Does not work at all: the cats feel quite comfortable leaving their droppings in the same spot these granules were applied.
78512,78513,B003O81FZY,A17XPRIPR5YLOH,KatJohnson,0,0,5,1300060800,Kitty is happy & healthy,"This past summer our veterinarian recommended this adult food for my 17year old cat. Noah has been pretty picky her whole life when it comes to food, yet she has heartily taken to this healthy grain free food. Blue Buffalo is worth the price!"
234031,234032,B004770OLM,A1Y5ZPQSUBDBKT,Gail E. Galipp,0,0,5,1331078400,Wonderful Tea,Love this tea so refreshing. Arrived on time in excellent condition. Will buy from this company again. If you like tea of different flavors you must try this one.
86690,86691,B0010VMEP2,A39F7XOVXQ0LZK,Jerry H. Bond,2,2,5,1224115200,Total Sums It Up,"I've been a Total junkie for years.  After several successive years of excellent results on my annual physicals, I figure this must be one of the things this old Nam Vet is doing right. However, health food is wasted unless it is combined with regular and strenuous exercise.  Try this for a Total breakfast.  Add two tablespoons of Oregon Blueberries from Amazon.Com and two tablespoons of crushed almonds over your Total.  Sweeten with Splenda. Pour on either skim milk or light soy milk. Add coffee, orange juice and a banana on the side - and then go work out for a half day."
244487,244488,B0030VBQ5Y,A3LKXSHXGVCFQR,kpadilla,0,0,5,1345593600,Fabulous product!,"My son is 16 months and loves this product! It's so difficult to get him to eat fruits and vegetables by themselves, but in this little pouch, which has both, he will eat it every time hands down. He loves it! And I have not found another company out there that can give your child what this one does - antioxidants, omega 3s, fiber, protein and Salba, this awesome super grain. Not to mention it's all organic. This particular one is a favorite of ours because of the cinnamon. Philip loves the taste of cinnamon. As a first time mom, it's great to know that I have an option out there for a tasty snack to give my son that is super healthy for him. Not to mention this on-the-go type pouch is really convenient. I highly recommend it."
430092,430093,B002FC6JZG,A5DEEWH96ARG6,Diane Lichtenstein,0,0,5,1267660800,Biobag great,"Biobag great for my food waste. Keeps the odor down, easy to use and much more convenient to put the bag in the large bin."
49816,49817,B000EUIZ8K,A1E1H4UQBFF4W1,vmhaviles,0,0,5,1323907200,Great taste,I've recently started to drink tea... this it's been a great choice<br />I mean am a beginer in tea's world
497034,497035,B005HG9ET0,#oc-R1GSBW9QIVY489,"Ariaceliz ""changosdaughter""",0,0,5,1348704000,Delicious,"The bottle of water is huge and helps keep me hydrated when I have had a marathon of patients in my office. The minerals in the water help replenish what you lose after a workout , a day or two of not eating right, or even having one two many drinks at cocktail hour. I loved the taste and having such a huge bottle helped me get my recommended water intake for the day ( when I don't drink enough I feel dizzy or get a migraine)."
462350,462351,B003S9C79C,AYG3T2MZCDFY8,SuzanneOB,0,0,5,1296518400,Best Feline Tuna Shrimp,"Cat loves it, and she's on a high protein, grain-free diet healing from cancer. She'd been extremely picky about eating anything other than feed mice or shrimp(expensive taste). Was giving her canned innova evo, but she seemed to tire of it and this is good quality and cheaper and she LOVES it."
459937,459938,B000Y4S38I,AR1T36GLLAFFX,Scott FS,14,18,5,1267747200,Yummy way to save your teeth,"Let's face it.  No one wants to get bad news from the dentist.  Proper dental care can go a long way to keeping one's teeth for a lifetime.<br /><br />The generation that grew up in the Depression and World War II many times did not have good dental care.  No fluoride, sealants, waterpiks, sonic toothbrushes and the like.  It wasn't uncommon for a person in their 30s to be missing a few teeth.  People generally could look forward to wearing dentures as their teeth became so rotten, the only thing to do was to pull them.<br /><br />Today, we don't have such problems.  And one of the reasons is the use of xylitol to help kill the bacteria that cause tooth decay.  The main reason for dental decay is a bacterium called S. Mutans.  This bug feeds on sugars and starches, secreting acids which destroy tooth enamel, which leads to decay and cavities.  There are various ways to defeat this bug, brushing, fluoride, flossing and sealants all have their place.<br /><br />A more modern addition to the decay-preventing fight is xylitol.  It's a sugar alcohol that S. Mutans cannot digest.  Sucking on mints or chewing gum with xylitol a few times a day is a easy and tasty way to curb this nasty bacteria.<br /><br />I've been chewing xylitol gum and eating xylitol mints for a number of years, and I've noticed that my dental problems have really improved.<br /><br />Highly recommended.  My only complaint is that this gum is so delicious, I tend not to ration it to make it last longer.  Try Spry.  Your mouth will thank you for it.  (Maybe not your dentist, though)."
430866,430867,B006Q7YG2O,A2MY9VXHZYAHUZ,"Kimba W. Lion ""kimbawlion.com""",1,2,2,1341273600,Two out of three cats say NO.,"Was it the sound of the plastic bag or the smell? Anyway, two of my cats came running when I opened the package. These things are WAY too big for cats, so I broke off pieces for each of them. The girl ate a piece after much pawing, but would not eat a second small piece. The boy sniffed and sniffed and pawed and pawed, but wouldn't eat a bit, and both of them left. Then our third cat walked in, obviously intrigued by the smell. He ate the others' leftovers and looked around for more. So, I guess that's about a 33 percent acceptance rate.<br /><br />Besides being way too big for cats, these things look... weird is the nicest word I can think of. They look like hairballs that have been compressed into cookie shapes. They even have weird hair-like things sticking out of them.<br /><br />The ingredients include pumpkin seeds, apples, carrots, squash, flax seeds, broccoli, and more plant products. Cats eat meat. And I really have to wonder what function another ingredient, ""Montmorillonite Clay"" (a.k.a. Fullers Earth) serves.<br /><br />These are sized for a medium to large dog (following the directions, an average cat should get less than half a ""cookie"" per day--if they even want one), and it seems to me the ingredients are more suited for dogs as well...if you are OK with the clay."
304551,304552,B001IWG8G4,ATC4NI4MDV41Q,Coogs,3,5,5,1294790400,Best Soda in the World,"Sprecher Root Beer is probably the best soda I've ever tasted, surely in no small part because it incorporates vanilla and real Wisconsin honey into the mix.  But don't take my word for it.  The food editors for the NEW YORK TIMES did a blind taste test of 25 root beers, and Sprecher was their #1 choice.  In their words, Sprecher is ""a wonderfully balanced and complex brew.""  If you're a root beer enthusiast and have never enjoyed Sprecher, you have no idea what you're missing.  Even the lo-cal version is really good...better than most full-calorie root beers I've tasted.<br /><br />Sprecher is brewed in Milwaukee, where I was born and raised.  Now that I live in Maryland, one of the toughest pills to swallow has been the unavailability of Sprecher Root Beer.  Around Milwaukee, you can get it at just about any restaurant and in every store.  In Maryland, only my local specialty grocery store stocks it.  I stop in every so often to buy some, but it is always sold out.  Other gourmet root beers line the shelves, but there is always a big gap where the Sprecher used to be."
418584,418585,B0032ETK3O,A3K27RKPOMQXSA,Turthteller1234,0,0,5,1328832000,Love it,I'm hooked.  I add this to the bowl every time I have chips and salsa.  Can't have salsa without it.  Just a great concentration and taste compared to other extracts I've tried.  Very hot hot hot.  It was unavailable for while there but it's back!...but a little more spendy now. the dropper idea is great from the other reviewer but it would probably put the price up past 20 bucks.  I mean what manufacturer makes tiny droppers for dispensing food integrated into a cap? Maybe like Viseen eye-dropers could get some business making bottles for MAD DOG'S REVENGE habanero extract hah!  By the way don't put it in your eye or you'll prolly be blind. Just saying cuz some peeps are dumb like that. Not me I just put it in my salsa and clean my colon couple times a month oyaaaa
